experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size,weight_decay
unified_grid,config_20,23,0.9456342779807134,0.9387755102040817,0.1658853255212307,33,17.795422792434692,0.5392552361343846,"[64, 32]",gelu,0.2,False,adamw,0.001,100,64,0.0005
unified_grid,config_12,32,0.9467128735168737,0.9387755102040817,0.16379408398643136,42,22.394479036331177,0.533201881817409,"[64, 32]",gelu,0.1,False,adamw,0.001,100,64,0.0005
unified_grid,config_7,47,0.947637357323111,0.9387755102040817,0.16357004083693027,57,29.49184799194336,0.5174008419639186,"[64, 32]",gelu,0.0,False,adamw,0.0005,100,64,0.0001
unified_grid,config_145,50,0.9464816195942415,0.9387755102040817,0.16616032206483425,60,48.53024196624756,0.8088373661041259,[32],tanh,0.0,False,adam,0.001,100,32,0.0
unified_grid,config_142,23,0.9464365226494641,0.9387755102040817,0.1690909992903471,33,9.813254117965698,0.29737133690805145,"[128, 64]",relu,0.2,False,rmsprop,0.001,100,128,0.0
unified_grid,config_30,42,0.947350803432162,0.9387755102040817,0.16250062081962824,52,27.02151083946228,0.5196444392204285,"[128, 64]",gelu,0.0,False,adamw,0.0005,100,64,1e-05
unified_grid,config_32,36,0.9469183009190694,0.9387755102040817,0.16334791528061032,46,24.731343269348145,0.5376378971597423,"[128, 64]",gelu,0.0,False,adamw,0.0005,100,64,0.0005
unified_grid,config_169,17,0.946514748008939,0.9387755102040817,0.16889589880743333,27,25.148865938186646,0.931439479192098,"[128, 64]",tanh,0.0,False,adam,0.001,100,32,0.0
unified_grid,config_170,17,0.9448730077097822,0.9387755102040817,0.17632104735821486,27,8.233295202255249,0.304936859342787,"[128, 64]",tanh,0.0,False,adam,0.001,100,128,0.0
unified_grid,config_80,79,0.9434995455251504,0.9387755102040817,0.17867890559136868,89,22.24505591392517,0.24994444847106934,[16],relu,0.0,False,adamw,0.0005,100,128,0.0
unified_grid,config_42,11,0.9466066954197906,0.9387755102040817,0.1636913507245481,21,12.768326997756958,0.6080155713217599,"[128, 64]",gelu,0.2,False,adamw,0.001,100,64,1e-05
unified_grid,config_37,18,0.9469740107440116,0.9387755102040817,0.1650356985628605,28,16.58195209503174,0.5922125748225621,"[128, 64]",gelu,0.1,False,adamw,0.0005,100,64,0.0
unified_grid,config_83,68,0.9474211066291611,0.9387755102040817,0.17447467713106063,78,68.9782202243805,0.8843361567228268,[16],relu,0.0,False,rmsprop,0.0005,100,32,0.0
unified_grid,config_39,48,0.9459994320599096,0.9387755102040817,0.16396557539701462,58,31.4637188911438,0.5424779119162724,"[128, 64]",gelu,0.1,False,adamw,0.0005,100,64,0.0001
unified_grid,config_2,21,0.9468490461840284,0.9387755102040817,0.16724206716753542,31,16.20155119895935,0.5226306838373984,"[64, 32]",gelu,0.0,False,adamw,0.001,100,64,1e-05
unified_grid,config_41,16,0.9463250298496113,0.9387755102040817,0.16356974793598056,26,14.92683219909668,0.5741089307344877,"[128, 64]",gelu,0.2,False,adamw,0.001,100,64,0.0
unified_grid,config_96,99,0.9432042803659656,0.9387755102040817,0.1990189254283905,100,25.102473974227905,0.25102473974227907,[16],relu,0.2,False,rmsprop,0.0005,100,128,0.0
unified_grid,config_99,36,0.945415493476659,0.9387755102040817,0.1696402470791532,46,46.33238697052002,1.007225803706957,"[64, 32]",relu,0.0,False,adam,0.0005,100,32,0.0
unified_grid,config_101,12,0.947169425487296,0.9387755102040817,0.16785930139162847,22,23.782426118850708,1.0810193690386685,"[64, 32]",relu,0.0,False,adamw,0.001,100,32,0.0
unified_grid,config_102,51,0.9475243447914098,0.9387755102040817,0.16681739408522844,61,17.59596014022827,0.28845836295456184,"[64, 32]",relu,0.0,False,adamw,0.001,100,128,0.0
unified_grid,config_135,39,0.9465195739497663,0.9387755102040817,0.16683305848029353,49,49.705296993255615,1.0143938161888901,"[128, 64]",relu,0.2,False,adam,0.0005,100,32,0.0
unified_grid,config_112,60,0.9450497814276192,0.9387755102040817,0.17394655849784613,70,19.87785506248474,0.2839693580354963,"[64, 32]",relu,0.2,False,adam,0.0005,100,128,0.0
unified_grid,config_131,30,0.9477053759721625,0.9387755102040817,0.16532759013916215,40,36.51121211051941,0.9127803027629853,"[128, 64]",relu,0.0,False,rmsprop,0.0005,100,32,0.0
unified_grid,config_44,21,0.9457795571227452,0.9377551020408164,0.16299179382622242,31,17.569798946380615,0.5667677079477618,"[128, 64]",gelu,0.2,False,adamw,0.001,100,64,0.0005
unified_grid,config_138,28,0.9462632954339693,0.9377551020408164,0.17233793251216412,38,11.968688249588013,0.31496548025231613,"[128, 64]",relu,0.2,False,adamw,0.001,100,128,0.0
unified_grid,config_148,89,0.9449592266446294,0.9377551020408164,0.1771844420582056,99,23.22983694076538,0.2346448175834887,[32],tanh,0.0,False,adam,0.0005,100,128,0.0
unified_grid,config_1,19,0.9462189007323599,0.9377551020408164,0.16650649905204773,29,16.87774896621704,0.5819913436626566,"[64, 32]",gelu,0.0,False,adamw,0.001,100,64,0.0
unified_grid,config_180,51,0.9442970102517336,0.9377551020408164,0.17086205258965492,61,16.15577793121338,0.2648488185444816,"[128, 64]",tanh,0.0,False,rmsprop,0.0005,100,128,0.0
unified_grid,config_47,37,0.9450973869336211,0.9377551020408164,0.1623432096093893,47,26.546288013458252,0.5648146385842181,"[128, 64]",gelu,0.2,False,adamw,0.0005,100,64,0.0001
unified_grid,config_6,15,0.9452134495296286,0.9377551020408164,0.16874630795791745,25,13.985522031784058,0.5594208812713624,"[64, 32]",gelu,0.0,False,adamw,0.0005,100,64,1e-05
unified_grid,config_43,18,0.9462868042766102,0.9377551020408164,0.1625538794323802,28,16.139936685562134,0.5764263101986477,"[128, 64]",gelu,0.2,False,adamw,0.001,100,64,0.0001
unified_grid,config_48,19,0.9463854947389618,0.9377551020408164,0.16625521378591657,29,16.47321605682373,0.5680419329939217,"[128, 64]",gelu,0.2,False,adamw,0.0005,100,64,0.0005
unified_grid,config_21,47,0.9456684714308319,0.9377551020408164,0.1659750733524561,57,29.72625994682312,0.5215133324004056,"[64, 32]",gelu,0.2,False,adamw,0.0005,100,64,0.0
unified_grid,config_27,29,0.9459753246984065,0.9377551020408164,0.1630914774723351,39,20.075499057769775,0.5147563860966609,"[128, 64]",gelu,0.0,False,adamw,0.001,100,64,0.0001
