experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size
full_grid,config_153,29,0.9445562631840543,0.936734693877551,0.16181239870286757,39,36.59853911399841,0.9384240798461132,"[128, 64]",relu,0.0,False,rmsprop,0.001,100,32
full_grid,config_94,60,0.9445209731879595,0.936734693877551,0.17497641872614622,70,17.243114948272705,0.24633021354675294,[64],tanh,0.2,False,rmsprop,0.001,100,128
full_grid,config_149,16,0.9445239575817045,0.936734693877551,0.16703015511795397,26,25.600461721420288,0.9846331431315496,"[128, 64]",relu,0.0,False,adamw,0.001,100,32
full_grid,config_118,22,0.9447200257602145,0.936734693877551,0.17170573957264423,32,9.435549020767212,0.2948609068989754,"[64, 32]",relu,0.2,False,rmsprop,0.001,100,128
full_grid,config_1,38,0.9447006411648761,0.936734693877551,0.17092787474393845,48,38.73125195503235,0.8069010823965073,[32],relu,0.0,False,adam,0.001,100,32
full_grid,config_66,42,0.945568691780869,0.936734693877551,0.17526362463831902,52,14.123892784118652,0.27161332277151257,[64],relu,0.2,False,adamw,0.001,100,128
full_grid,config_135,54,0.9426132931656307,0.936734693877551,0.1690315124128134,64,62.89940929412842,0.9828032702207565,"[64, 32]",tanh,0.2,False,adam,0.0005,100,32
full_grid,config_175,22,0.9437801648876959,0.936734693877551,0.16855313496724253,32,30.79465413093567,0.9623329415917397,"[128, 64]",tanh,0.0,False,adamw,0.0005,100,32
full_grid,config_38,57,0.9426160830729897,0.936734693877551,0.17649841587990522,67,16.290743112564087,0.24314541959050875,[32],tanh,0.2,False,adam,0.001,100,128
full_grid,config_44,98,0.9423505563349815,0.936734693877551,0.18271555937826633,100,23.68211007118225,0.2368211007118225,[32],tanh,0.2,False,adamw,0.0005,100,128
full_grid,config_177,13,0.9446756782413954,0.936734693877551,0.16800894419993123,23,21.925841093063354,0.9532974388288415,"[128, 64]",tanh,0.0,False,rmsprop,0.001,100,32
full_grid,config_33,50,0.9441635960331597,0.936734693877551,0.16941676282834622,60,47.40939378738403,0.7901565631230673,[32],tanh,0.0,False,rmsprop,0.001,100,32
full_grid,config_31,37,0.9431404117706851,0.936734693877551,0.17468148229583616,47,38.84779214859009,0.826548769118938,[32],tanh,0.0,False,adamw,0.0005,100,32
full_grid,config_167,12,0.9426438528239673,0.936734693877551,0.170103975481564,22,22.537460327148438,1.0244300148703835,"[128, 64]",relu,0.2,False,rmsprop,0.0005,100,32
full_grid,config_180,28,0.9429113025807692,0.936734693877551,0.17348883394151926,38,10.658886909484863,0.2804970239338122,"[128, 64]",tanh,0.0,False,rmsprop,0.0005,100,128
full_grid,config_164,40,0.9451997726410023,0.936734693877551,0.17077762633562088,50,14.789448976516724,0.29578897953033445,"[128, 64]",relu,0.2,False,adamw,0.0005,100,128
full_grid,config_26,83,0.9433215498654665,0.936734693877551,0.1730839516967535,93,21.50055193901062,0.23118873052699593,[32],tanh,0.0,False,adam,0.001,100,128
full_grid,config_41,40,0.9427645661440048,0.936734693877551,0.17812676589575507,50,42.5987811088562,0.851975622177124,[32],tanh,0.2,False,adamw,0.001,100,32
full_grid,config_13,52,0.9417356057598807,0.936734693877551,0.17278452962636948,62,52.517549991607666,0.8470572579291559,[32],relu,0.2,False,adam,0.001,100,32
full_grid,config_161,5,0.9452114867111086,0.936734693877551,0.17263266744632874,15,16.27588701248169,1.0850591341654459,"[128, 64]",relu,0.2,False,adamw,0.001,100,32
full_grid,config_160,39,0.9441675853944149,0.936734693877551,0.17004444729536772,49,14.58102011680603,0.2975718391184904,"[128, 64]",relu,0.2,False,adam,0.0005,100,128
full_grid,config_70,49,0.9449060552074654,0.936734693877551,0.17223664931952953,59,14.246316194534302,0.241462986348039,[64],relu,0.2,False,rmsprop,0.001,100,128
full_grid,config_9,33,0.9452440537310917,0.936734693877551,0.16462486922260253,43,34.913023948669434,0.8119307895039403,[32],relu,0.0,False,rmsprop,0.001,100,32
full_grid,config_75,53,0.9441770844799062,0.936734693877551,0.1718420504682487,63,50.82947015762329,0.8068169866289411,[64],tanh,0.0,False,adam,0.0005,100,32
full_grid,config_14,76,0.9425926452637843,0.9357142857142857,0.17110677435994148,86,21.064028024673462,0.2449305584264356,[32],relu,0.2,False,adam,0.001,100,128
full_grid,config_184,45,0.9421158721300014,0.9357142857142857,0.17407509125769138,55,15.92297911643982,0.2895087112079967,"[128, 64]",tanh,0.2,False,adam,0.0005,100,128
full_grid,config_139,27,0.9414502607346316,0.9357142857142857,0.17374114764313545,37,37.8203980922699,1.0221729214127,"[64, 32]",tanh,0.2,False,adamw,0.0005,100,32
full_grid,config_126,32,0.9420699670925036,0.9357142857142857,0.17795259971171618,42,12.010004043579102,0.2859524772280738,"[64, 32]",tanh,0.0,False,adamw,0.001,100,128
full_grid,config_8,95,0.9417727972872019,0.9357142857142857,0.17757014371454716,100,22.96690011024475,0.2296690011024475,[32],relu,0.0,False,adamw,0.0005,100,128
full_grid,config_114,25,0.9421407836387315,0.9357142857142857,0.17425675690174103,35,10.708138942718506,0.30594682693481445,"[64, 32]",relu,0.2,False,adamw,0.001,100,128
full_grid,config_35,57,0.9438629051770562,0.9357142857142857,0.17431298907726042,67,52.75006103515625,0.7873143438083022,[32],tanh,0.0,False,rmsprop,0.0005,100,32
full_grid,config_4,91,0.9434943929202471,0.9357142857142857,0.17348909936845303,100,23.164341926574707,0.23164341926574708,[32],relu,0.0,False,adam,0.0005,100,128
full_grid,config_36,55,0.9415442536734991,0.9357142857142857,0.17939527053385973,65,15.445811986923218,0.23762787672189567,[32],tanh,0.0,False,rmsprop,0.0005,100,128
full_grid,config_121,25,0.9443548683857319,0.9357142857142857,0.1712298577711467,35,33.768028259277344,0.9648008074079241,"[64, 32]",tanh,0.0,False,adam,0.001,100,32
full_grid,config_78,64,0.943831796745816,0.9357142857142857,0.1718656700104475,74,17.3636372089386,0.23464374606673782,[64],tanh,0.0,False,adamw,0.001,100,128
full_grid,config_43,62,0.9415137936892152,0.9357142857142857,0.17608888855864924,72,60.14728593826294,0.835378971364763,[32],tanh,0.2,False,adamw,0.0005,100,32
full_grid,config_62,96,0.9414734560455296,0.9357142857142857,0.16674524545669556,100,23.266813039779663,0.23266813039779663,[64],relu,0.2,False,adam,0.001,100,128
full_grid,config_74,47,0.9421474751511373,0.9357142857142857,0.17477183137089014,57,14.29265284538269,0.25074829553302963,[64],tanh,0.0,False,adam,0.001,100,128
full_grid,config_72,82,0.943564379765646,0.9357142857142857,0.17176027968525887,92,21.384769916534424,0.23244315126667853,[64],relu,0.2,False,rmsprop,0.0005,100,128
