experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size,weight_decay
gelu_grid,config_11,45,0.9437571433038936,0.9357142857142857,0.16720100585371256,55,30.196986198425293,0.5490361126986417,"[64, 32]",gelu,0.1,False,adamw,0.0005,100,64,0.0001
gelu_grid,config_23,28,0.9443083969565017,0.9357142857142857,0.16878239391371608,38,21.323305368423462,0.5611396149585122,"[64, 32]",gelu,0.2,False,adamw,0.001,100,64,0.0001
gelu_grid,config_38,7,0.9444988228835138,0.9357142857142857,0.16775312228128314,17,9.624704122543335,0.5661590660319609,"[128, 64]",gelu,0.1,False,adamw,0.001,100,64,1e-05
gelu_grid,config_12,50,0.9428475027562749,0.9357142857142857,0.16818101424723864,60,32.15282392501831,0.5358803987503051,"[64, 32]",gelu,0.1,False,adamw,0.0005,100,64,0.0005
gelu_grid,config_17,22,0.9438814901884228,0.9357142857142857,0.17416389612480998,32,17.129229068756104,0.5352884083986282,"[64, 32]",gelu,0.2,False,adamw,0.0005,100,64,0.0
gelu_grid,config_19,40,0.9423139441042723,0.9357142857142857,0.17031975090503693,50,26.125390768051147,0.522507815361023,"[64, 32]",gelu,0.2,False,adamw,0.0005,100,64,0.0001
gelu_grid,config_7,20,0.9427638724224521,0.9346938775510204,0.16619530972093344,30,15.189422130584717,0.5063140710194906,"[64, 32]",gelu,0.0,False,adamw,0.001,100,64,0.0001
gelu_grid,config_41,22,0.9417760087892196,0.9346938775510204,0.16611244482919574,32,16.386952877044678,0.5120922774076462,"[128, 64]",gelu,0.2,False,adamw,0.0005,100,64,0.0
gelu_grid,config_29,41,0.9440968338345304,0.9346938775510204,0.16153367282822728,51,25.41575813293457,0.4983481986849916,"[128, 64]",gelu,0.0,False,adamw,0.001,100,64,0.0
gelu_grid,config_27,28,0.9429838264249596,0.9346938775510204,0.16112598916515708,38,19.61093020439148,0.516077110641881,"[128, 64]",gelu,0.0,False,adamw,0.0005,100,64,0.0001
gelu_grid,config_2,27,0.9436586982999781,0.9346938775510204,0.16543781477957964,37,17.872127056121826,0.48303046097626556,"[64, 32]",gelu,0.0,False,adamw,0.0005,100,64,1e-05
