experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size
full_grid,config_135,3,0.943675348498281,0.9377551020408164,13,13.534663915634155,1.0411279935103197,"[64, 32]",tanh,0.2,False,adam,0.0005,100,32
full_grid,config_138,4,0.9436581065452011,0.9377551020408164,14,5.204682111740112,0.3717630079814366,"[64, 32]",tanh,0.2,False,adamw,0.001,100,128
full_grid,config_89,3,0.9436526608973642,0.9377551020408164,13,11.417716979980469,0.8782859215369592,[64],tanh,0.2,False,adamw,0.001,100,32
full_grid,config_140,12,0.943541888887604,0.9377551020408164,22,6.821020126342773,0.310046369379217,"[64, 32]",tanh,0.2,False,adamw,0.0005,100,128
full_grid,config_27,17,0.9435134964093008,0.9377551020408164,27,20.924057960510254,0.7749651096485279,[32],tanh,0.0,False,adam,0.0005,100,32
full_grid,config_20,23,0.9435111950888257,0.9377551020408164,33,8.55526328086853,0.2592504024505615,[32],relu,0.2,False,adamw,0.0005,100,128
full_grid,config_119,16,0.9434998350458134,0.9377551020408164,26,21.78557014465332,0.8379065440251277,"[64, 32]",relu,0.2,False,rmsprop,0.0005,100,32
full_grid,config_86,32,0.9434521343494248,0.9377551020408164,42,10.250993967056274,0.2440712849299113,[64],tanh,0.2,False,adam,0.001,100,128
full_grid,config_82,18,0.9434339113371804,0.9377551020408164,28,7.250746726989746,0.2589552402496338,[64],tanh,0.0,False,rmsprop,0.001,100,128
full_grid,config_173,3,0.9434235714850409,0.9387755102040817,13,13.323362827301025,1.0248740636385405,"[128, 64]",tanh,0.0,False,adamw,0.001,100,32
full_grid,config_25,21,0.9433822700999198,0.936734693877551,31,23.833824157714844,0.7688330373456401,[32],tanh,0.0,False,adam,0.001,100,32
full_grid,config_2,26,0.9433558748415908,0.936734693877551,36,8.723779678344727,0.24232721328735352,[32],relu,0.0,False,adam,0.001,100,128
full_grid,config_133,3,0.9433084103452175,0.9377551020408164,13,12.651108741760254,0.973162210904635,"[64, 32]",tanh,0.2,False,adam,0.001,100,32
